1,2,3,4,5,6,7,8,9,label
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
maslo,papricka,stul,chleba na vrchu,podlaha,syr,none,none,none,0
chleba ve spodu,syr,maslo,papricka,stul,none,none,none,none,0
syr,podlaha,maslo,none,none,none,none,none,none,0
stul,chleba na vrchu,vajicka,papricka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,chleba na vrchu,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,chleba na vrchu,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,syr,chleba na vrchu,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
chleba na vrchu,vajicka,chleba ve spodu,syr,none,none,none,none,none,0
sunka,syr,vajicka,chleba na vrchu,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
syr,chleba na vrchu,none,none,none,none,none,none,none,0
syr,stul,sunka,vajicka,podlaha,chleba na vrchu,none,none,none,0
chleba ve spodu,papricka,maslo,podlaha,chleba na vrchu,none,none,none,none,0
stul,syr,papricka,maslo,vajicka,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
podlaha,stul,syr,maslo,chleba ve spodu,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
stul,sunka,maslo,none,none,none,none,none,none,0
chleba ve spodu,vajicka,papricka,sunka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
podlaha,stul,papricka,none,none,none,none,none,none,0
syr,podlaha,papricka,vajicka,maslo,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,sunka,chleba ve spodu,maslo,chleba na vrchu,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,chleba na vrchu,none,none,none,1
sunka,chleba ve spodu,maslo,vajicka,papricka,syr,none,none,none,0
chleba na vrchu,stul,syr,sunka,none,none,none,none,none,0
maslo,none,none,none,none,none,none,none,none,0
maslo,chleba ve spodu,none,none,none,none,none,none,none,0
syr,papricka,podlaha,stul,sunka,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
vajicka,stul,podlaha,maslo,sunka,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,chleba ve spodu,papricka,chleba na vrchu,sunka,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
papricka,sunka,stul,maslo,vajicka,none,none,none,none,0
podlaha,syr,vajicka,none,none,none,none,none,none,0
sunka,chleba ve spodu,chleba na vrchu,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,chleba na vrchu,none,none,none,1
podlaha,stul,chleba ve spodu,chleba na vrchu,none,none,none,none,none,1
vajicka,none,none,none,none,none,none,none,none,0
sunka,maslo,stul,podlaha,chleba ve spodu,none,none,none,none,0
sunka,stul,maslo,podlaha,papricka,vajicka,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
sunka,chleba ve spodu,stul,none,none,none,none,none,none,0
chleba na vrchu,papricka,maslo,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
chleba na vrchu,chleba ve spodu,syr,stul,maslo,vajicka,podlaha,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,chleba na vrchu,none,none,none,none,1
vajicka,papricka,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
sunka,none,none,none,none,none,none,none,none,0
podlaha,papricka,chleba ve spodu,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
chleba ve spodu,papricka,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,syr,chleba na vrchu,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
podlaha,chleba na vrchu,none,none,none,none,none,none,none,0
chleba na vrchu,stul,maslo,sunka,chleba ve spodu,syr,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,papricka,chleba na vrchu,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,syr,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
vajicka,sunka,chleba na vrchu,podlaha,chleba ve spodu,none,none,none,none,0
maslo,sunka,none,none,none,none,none,none,none,0
vajicka,chleba na vrchu,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,chleba na vrchu,none,none,none,none,1
sunka,syr,maslo,vajicka,none,none,none,none,none,0
sunka,chleba na vrchu,syr,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
syr,podlaha,chleba na vrchu,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
syr,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
maslo,chleba ve spodu,sunka,vajicka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
maslo,chleba ve spodu,vajicka,none,none,none,none,none,none,0
stul,sunka,podlaha,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,papricka,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
papricka,sunka,chleba ve spodu,none,none,none,none,none,none,0
podlaha,vajicka,chleba ve spodu,syr,sunka,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
syr,chleba na vrchu,vajicka,podlaha,stul,none,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,sunka,vajicka,chleba ve spodu,maslo,none,none,none,none,0
papricka,none,none,none,none,none,none,none,none,0
sunka,podlaha,chleba ve spodu,maslo,syr,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,chleba na vrchu,none,none,none,none,1
chleba na vrchu,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
chleba na vrchu,podlaha,none,none,none,none,none,none,none,0
maslo,syr,papricka,chleba ve spodu,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
vajicka,chleba ve spodu,none,none,none,none,none,none,none,0
papricka,vajicka,none,none,none,none,none,none,none,0
chleba na vrchu,vajicka,sunka,stul,podlaha,papricka,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
papricka,maslo,chleba na vrchu,sunka,stul,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
papricka,chleba na vrchu,podlaha,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,syr,chleba na vrchu,none,none,none,1
stul,chleba na vrchu,syr,sunka,podlaha,chleba ve spodu,none,none,none,0
syr,podlaha,maslo,chleba na vrchu,vajicka,sunka,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,papricka,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
papricka,syr,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,chleba na vrchu,none,none,none,none,1
maslo,syr,stul,papricka,podlaha,chleba ve spodu,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
sunka,chleba ve spodu,podlaha,stul,vajicka,papricka,none,none,none,0
podlaha,maslo,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
sunka,podlaha,syr,chleba ve spodu,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
chleba na vrchu,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
syr,stul,vajicka,maslo,chleba na vrchu,none,none,none,none,0
sunka,maslo,chleba ve spodu,papricka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
chleba na vrchu,chleba ve spodu,maslo,papricka,none,none,none,none,none,0
